name,judicial_district
Acadia,15th
Allen,33rd
Ascension,23rd
Assumption,23rd
Avoyelles,12th
Beauregard,36th
Bienville,2nd
Bossier,26th
Caddo,1st
Calcasieu,14th
Caldwell,37th
Cameron,38th
Catahoula,7th
Claiborne,2nd
Concordia,7th
De Soto,42nd
East Baton Rouge,19th
East Carroll,6th
East Feliciana,20th
Evangeline,13th
Franklin,5th
Grant,35th
Iberia,16th
Iberville,18th
Jackson,2nd
Jefferson,24th
Jefferson Davis,31st
La Salle,28th
Lafayette,15th
Lafourche,17th
Lincoln,3rd
Livingston,21st
Madison,6th
Morehouse,4th
Natchitoches,10th
Orleans,Civil District Court
Ouachita,4th
Plaquemines,25th
Pointe Coupee,18th
Rapides,9th
Red River,39th
Richland,5th
Sabine,11th
St. Bernard,34th
St. Charles,29th
St. Helena,21st
St. James,23rd
St. John The Baptist,40th
St. Landry,27th
St. Martin,16th
St. Mary,16th
St. Tammany,22nd
Tangipahoa,21st
Tensas,6th
Terrebonne,32nd
Union,3rd
Vermilion,15th
Vernon,30th
Washington,22nd
Webster,26th
West Baton Rouge,18th
West Carroll,5th
West Feliciana,20th
Winn,8th
